n,time
5000,38912
10000,34640
15000,48152
20000,67774
25000,90016
30000,110864
35000,135878
40000,161425
45000,187814
50000,214135
55000,239568
60000,271493
65000,298457
70000,336553
75000,373695
80000,410063
85000,445044
90000,483532
95000,516508
100000,555316
